"study","treatment","r","n"
"1","1",9,181
"2","2",143,6022
"3","1",19,265
"4","2",3,170
"5","2",2,131
"6","2",10,454
"7","2",0,153
"8","2",42,3371
"9","2",20,2107
"10","1",13,208
"11","1",39,214
"12","1",17,211
"13","2",26,555
"14","2",11,523
"15","2",46,1703
"16","2",36,1962
"17","2",221,7090
"18","2",155,9081
"19","2",235,7036
"1","2",5,187
"2","3",111,6076
"3","2",4,260
"4","5",5,169
"5","5",4,141
"6","7",18,462
"7","6",5,152
"8","8",90,3335
"9","9",13,1922
"10","2",2,212
"11","2",16,225
"12","2",6,210
"13","5",37,545
"14","15",43,521
"15","10",32,1704
"16","10",45,1960
"17","11",218,7081
"18","12",149,9120
"19","13",333,7034
"1",NA,NA,1
"2","4",159,6015
"3",NA,NA,1
"4","6",5,167
"5",NA,NA,1
"6",NA,NA,1
"7",NA,NA,1
"8",NA,NA,1
"9",NA,NA,1
"10",NA,NA,1
"11",NA,NA,1
"12",NA,NA,1
"13",NA,NA,1
"14",NA,NA,1
"15",NA,NA,1
"16",NA,NA,1
"17",NA,NA,1
"18",NA,NA,1
"19","14",236,7035
